# Generated at ,
# UTC+08,
# Period Selected:,
#,
# Comment: ,
# Description: ,
# ReportTitle: Water Year Report for Testing,
# Serial No. here,
#,
# CSV data starts at line 12,
#,
TimeStamp,Rainfall@0550161RF
01-10-00 0:00,2461
01-10-01 0:00,1448.8
01-10-02 0:00,1716.5
01-10-03 0:00,466.5
01-10-04 0:00,1017.8
01-10-05 0:00,0.6
01-10-06 0:00,464.6
01-10-07 0:00,
01-10-08 0:00,334.5
01-10-09 0:00,687.5
01-10-10 0:00,1918
01-10-11 0:00,1950
01-10-12 0:00,1296.078332
01-10-13 0:00,1656.421668
01-10-14 0:00,1735.5
01-10-15 0:00,1486.5
01-10-16 0:00,1227
01-10-17 0:00,1957.344834
01-10-18 0:00,1489.155166
01-10-19 0:00,1220
01-10-20 0:00,1677
